label,disease,samples,percent
19,Ear Ache,203,2.908726178535607
38,STD,201,2.8800687777618568
12,Cold,199,2.851411376988107
40,Sneeze,190,2.722453073506233
30,JAUNDICE,190,2.722453073506233
6,Bleed,184,2.6364808711849834
22,Fever,182,2.6078234704112337
39,STOMACH ACHE,181,2.5934947700243587
43,Swell,176,2.5218512680899843
33,RUNNY NOSE,163,2.3355781630606103
47,nausea,163,2.3355781630606103
45,Tooth ache,160,2.2925920618999855
25,HEAT BURN,158,2.263934661126236
10,CONJUCTIVITIES,157,2.249605960739361
44,TB,156,2.235277260352486
16,DIARRHOEA,156,2.235277260352486
31,MUMPSE,156,2.235277260352486
28,Injury,154,2.206619859578736
23,HEAD ACHE,152,2.1779624588049864
15,Cut,149,2.1349763576443617
8,Broken Arm,149,2.1349763576443617
37,SORE THROAT,148,2.1206476572574866
46,Vomit,145,2.077661556096862
41,Sore Finger,144,2.0633328557099873
21,Faint,144,2.0633328557099873
34,Rash,139,1.9916893537756126
13,Cough,139,1.9916893537756126
42,Sunburn,135,1.934374552228113
3,BROKEN BONES,133,1.9057171514543632
11,Cancer,133,1.9057171514543632
7,Bone Fracture,131,1.8770597506806133
24,HEART ATTACK,130,1.8627310502937384
35,Retching,129,1.8484023499068636
4,BRUISE,124,1.776758847972489
29,Itch,123,1.7624301475856141
9,CHICKEN POX,123,1.7624301475856141
0,ASTHMA,122,1.748101447198739
20,FLU,122,1.748101447198739
36,SHOULDER PAIN,121,1.7337727468118642
27,Hiv,121,1.7337727468118642
18,Dizziness,119,1.7051153460381143
32,Measles,119,1.7051153460381143
14,Cramp,118,1.6907866456512395
1,Allergies,114,1.63347184410374
26,HEPATITIS,112,1.60481444332999
17,Diabetes,112,1.60481444332999
2,BLOOD PRESSURE,108,1.5474996417824902
5,Back Ache,92,1.3182404355924917
