filepath,disease,signer,label
landmarks/Diabetes/anindita/ANINDITA_13.npy,Diabetes,anindita,17
landmarks/CHICKEN POX/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_5.npy,CHICKEN POX,arinjit kataki,9
landmarks/BLOOD PRESSURE/AKASH/AKASH__AKASH__AKASH_21.npy,BLOOD PRESSURE,akash,2
landmarks/Cut/Bishal/Bishal__Bishal__BISHAL_15.npy,Cut,bishal,15
landmarks/DIARRHOEA/Naresh/Naresh__Naresh__NARESH_42.npy,DIARRHOEA,naresh,16
landmarks/BLOOD PRESSURE/AKASH/AKASH__AKASH__AKASH_7.npy,BLOOD PRESSURE,akash,2
landmarks/Allergies/Kalyan/Kalyan__Kalyan__KALYAN_16.npy,Allergies,kalyan,1
landmarks/Sneeze/Rajkumar/Rajkumar__Rajkumar__Rajkumar_6.npy,Sneeze,rajkumar,40
landmarks/CHICKEN POX/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_15.npy,CHICKEN POX,arinjit kataki,9
landmarks/HEART ATTACK/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_27.npy,HEART ATTACK,arinjit kataki,24
landmarks/Sore Finger/Rajkumar/Rajkumar__Rajkumar__WIN_20250602_11_11_39_Pro.npy,Sore Finger,rajkumar,41
landmarks/Sneeze/Rinki/Rinki__Rinki__WIN_20250602_12_40_20_Pro.npy,Sneeze,rinki,40
landmarks/BLOOD PRESSURE/NARESH/NARESH__NARESH__NARESH_13.npy,BLOOD PRESSURE,naresh,2
landmarks/SORE THROAT/chayanika/CHAYANIKA_3.npy,SORE THROAT,chayanika,37
landmarks/Dizziness/Junali/Junali__Junali__WIN_20250602_11_49_15_Pro.npy,Dizziness,junali,18
landmarks/Fever/anindita/WIN_20250602_12_27_23_Pro.npy,Fever,anindita,22
landmarks/STD/SURESH/SURESH__SURESH__SURESH_1.npy,STD,suresh,38
landmarks/Ear Ache/Bishal/Bishal__Bishal__BISHAL_6.npy,Ear Ache,bishal,19
landmarks/JAUNDICE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_59.npy,JAUNDICE,arinjit kataki,30
landmarks/Cut/Kalyan/Kalyan__Kalyan__KALYAN_2.npy,Cut,kalyan,15
landmarks/Rash/Shubham/Shubham__Shubham__SHUBHAM_10.npy,Rash,shubham,34
landmarks/JAUNDICE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__HARKHAPRATIM_18.npy,JAUNDICE,arinjit kataki,30
landmarks/Sneeze/Junali/Junali__Junali__Junali_1.npy,Sneeze,junali,40
landmarks/Vomit/Umiraj/Umiraj__Umiraj__UMIRAJ_1.npy,Vomit,umiraj,46
landmarks/Broken Arm/Umiraj/Umiraj__Umiraj__UMIRAJ_22.npy,Broken Arm,umiraj,8
landmarks/Cold/Bishal/Bishal__Bishal__BISHAL_12.npy,Cold,bishal,12
landmarks/Bleed/rupanjali/RUPANJALI_31.npy,Bleed,rupanjali,6
landmarks/Cancer/rupanjali/RUPANJALI_10.npy,Cancer,rupanjali,11
landmarks/STD/AKASH/AKASH__AKASH__AKASH_45.npy,STD,akash,38
landmarks/Sore Finger/Junali/Junali__Junali__Junali_2.npy,Sore Finger,junali,41
landmarks/Ear Ache/Biraj/Biraj__Biraj__BIRAJ_50.npy,Ear Ache,biraj,19
landmarks/Broken Arm/Kalyan/Kalyan__Kalyan__KALYAN_6.npy,Broken Arm,kalyan,8
landmarks/Cut/Kalyan/Kalyan__Kalyan__KALYAN_23.npy,Cut,kalyan,15
landmarks/RUNNY NOSE/arinjit kataki/ARINJIT_5.npy,RUNNY NOSE,arinjit kataki,33
landmarks/Vomit/Kalyan/Kalyan__Kalyan__KALYAN_9.npy,Vomit,kalyan,46
landmarks/Bleed/rupanjali/RUPANJALI_29.npy,Bleed,rupanjali,6
landmarks/HEAD ACHE/chayanika/CHAYANIKA_13.npy,HEAD ACHE,chayanika,23
landmarks/RUNNY NOSE/prakash/PRAKASH_15.npy,RUNNY NOSE,prakash,33
landmarks/BROKEN BONES/pranati/PRANATI_12.npy,BROKEN BONES,pranati,3
landmarks/RUNNY NOSE/pranati/PRANATI_15.npy,RUNNY NOSE,pranati,33
landmarks/SORE THROAT/harkhapratim gogoi/HARKAPRATIM_19.npy,SORE THROAT,harkhapratim gogoi,37
landmarks/Cancer/rupanjali/RUPANJALI_23.npy,Cancer,rupanjali,11
